NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Washington County, Mississippi",47086,46528,15496,28,151
"Perry County, Mississippi",12028,11915,2231,28,111
"Choctaw County, Mississippi",8321,8108,1888,28,019
"Itawamba County, Mississippi",23480,22320,3428,28,057
"Carroll County, Mississippi",10129,9963,1477,28,015
"Grenada County, Mississippi",21278,20780,5090,28,043
"Jefferson County, Mississippi",7346,6874,3418,28,063
"Greene County, Mississippi",13714,10164,1475,28,041
"Marshall County, Mississippi",35787,33601,6148,28,093
"Quitman County, Mississippi",7372,7188,2549,28,119
"Bolivar County, Mississippi",32592,31018,10723,28,011
"Lamar County, Mississippi",61223,60739,10049,28,073
"Lee County, Mississippi",84915,83733,13280,28,081
"Pike County, Mississippi",39737,38532,13040,28,113
"Tallahatchie County, Mississippi",14361,10976,3357,28,135
"Smith County, Mississippi",16063,15930,2697,28,129
"Stone County, Mississippi",18375,17686,3019,28,131
"Warren County, Mississippi",47075,46536,9594,28,149
"Clarke County, Mississippi",15928,15772,3039,28,023
"Kemper County, Mississippi",10107,9213,2760,28,069
"Montgomery County, Mississippi",10198,10056,2748,28,097
"Oktibbeha County, Mississippi",49481,44274,13304,28,105
"Pearl River County, Mississippi",55149,53522,8633,28,109
"Leake County, Mississippi",22870,22106,5731,28,079
"Noxubee County, Mississippi",10828,10569,3114,28,103
"Neshoba County, Mississippi",29376,28855,6826,28,099
"Rankin County, Mississippi",151240,145655,11957,28,121
"Tate County, Mississippi",28493,26418,5194,28,137
"Lawrence County, Mississippi",12630,12606,2444,28,077
"Panola County, Mississippi",34243,33999,7107,28,107
"Yalobusha County, Mississippi",12421,12213,1978,28,161
"Chickasaw County, Mississippi",17279,16907,3576,28,017
"Copiah County, Mississippi",28721,27795,6662,28,029
"George County, Mississippi",23710,23199,3397,28,039
"Hinds County, Mississippi",241774,232966,51764,28,049
"Newton County, Mississippi",21524,20842,5446,28,101
"Union County, Mississippi",28356,28009,4361,28,145
"Sharkey County, Mississippi",4511,4409,1143,28,125
"Tippah County, Mississippi",21990,21603,4264,28,139
"Forrest County, Mississippi",75517,71762,17973,28,035
"Hancock County, Mississippi",46653,46412,8316,28,045
"Lafayette County, Mississippi",53459,48368,11490,28,071
"Issaquena County, Mississippi",1328,1053,439,28,055
"Lowndes County, Mississippi",59437,57660,12759,28,087
"Leflore County, Mississippi",29804,28445,11143,28,083
"Wilkinson County, Mississippi",8990,7899,2587,28,157
