NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Autauga County, Alabama",54590,54255,6267,01,001
"Baldwin County, Alabama",183226,180970,24002,01,003
"Barbour County, Alabama",27469,24530,6395,01,005
"Bibb County, Alabama",22769,21794,3594,01,007
"Blount County, Alabama",57466,56993,8396,01,009
"Bullock County, Alabama",10779,10313,2286,01,011
"Butler County, Alabama",20730,20463,5256,01,013
"Calhoun County, Alabama",117834,114887,24597,01,015
"Chambers County, Alabama",34228,33785,7863,01,017
"Cherokee County, Alabama",25917,25440,4956,01,019
"Chilton County, Alabama",43611,43197,8020,01,021
"Choctaw County, Alabama",13838,13668,2758,01,023
"Clarke County, Alabama",25768,25537,6737,01,025
"Clay County, Alabama",13828,13513,2680,01,027
"Cleburne County, Alabama",14905,14740,2650,01,029
"Coffee County, Alabama",49966,49208,8438,01,031
"Colbert County, Alabama",54451,53890,8735,01,033
"Conecuh County, Alabama",13188,13119,3982,01,035
"Coosa County, Alabama",11305,11006,2223,01,037
"Covington County, Alabama",37803,37253,7780,01,039
"Crenshaw County, Alabama",13971,13796,2544,01,041
"Cullman County, Alabama",80403,79211,14723,01,043
"Dale County, Alabama",50129,48486,7748,01,045
"Dallas County, Alabama",43572,43161,15733,01,047
"DeKalb County, Alabama",70949,70192,13701,01,049
"Elmore County, Alabama",79330,73602,9539,01,051
"Escambia County, Alabama",38122,35527,8849,01,053
"Etowah County, Alabama",104317,102425,19212,01,055
"Fayette County, Alabama",17219,16916,3232,01,057
"Franklin County, Alabama",31664,31247,6188,01,059
"Geneva County, Alabama",26769,26361,5266,01,061
"Greene County, Alabama",9067,9026,2968,01,063
"Hale County, Alabama",15750,15448,4277,01,065
"Henry County, Alabama",17275,17039,2727,01,067
"Houston County, Alabama",101459,100167,17723,01,069
"Jackson County, Alabama",53279,52693,8533,01,071
"Jefferson County, Alabama",658464,645062,109935,01,073
"Lamar County, Alabama",14513,14361,2883,01,075
"Lauderdale County, Alabama",92528,90550,16248,01,077
"Lawrence County, Alabama",34148,33898,5467,01,079
"Lee County, Alabama",140938,135639,28564,01,081
"Limestone County, Alabama",83313,79243,10562,01,083
"Lowndes County, Alabama",11304,11217,2643,01,085
"Macon County, Alabama",21214,18953,5331,01,087
"Madison County, Alabama",334661,327119,40598,01,089
"Marengo County, Alabama",20909,20600,4687,01,091
"Logan County, Colorado",22541,21537,3426,08,075
"Mesa County, Colorado",146562,143753,19230,08,077
