NAME,totalpop,totalpovpop,<pov,state,county,pctpov,geoid
"Todd County, South Dakota",10146,9948.0,5481.0,46,121,55.09650180940893,46121
"Jefferson County, Mississippi",7346,6874.0,3418.0,28,063,49.72359615944137,28063
"Oglala Lakota County, South Dakota",14335,14176.0,6992.0,46,102,49.32279909706546,46102
"East Carroll Parish, Louisiana",7225,4602.0,2238.0,22,035,48.63102998696219,22035
"Mellette County, South Dakota",2055,1997.0,965.0,46,095,48.322483725588384,46095
"Jackson County, South Dakota",3287,3190.0,1523.0,46,071,47.742946708463954,46071
"Corson County, South Dakota",4168,4151.0,1837.0,46,031,44.2543965309564,46031
"Claiborne County, Mississippi",9120,8397.0,3698.0,28,021,44.03953793021317,28021
"Holmes County, Mississippi",18075,17358.0,7565.0,28,051,43.582209932019815,28051
"Perry County, Alabama",9486,8661.0,3616.0,01,105,41.750375245352735,01105
