geoid,totalpop,totalpovpop,<pov,state,county,pctpov
28151,47086,46528.0,15496.0,28,151,33.30467675378267
28111,12028,11915.0,2231.0,28,111,18.72429710449014
2819,8321,8108.0,1888.0,28,19,23.285643808584116
2857,23480,22320.0,3428.0,28,57,15.3584229390681
2815,10129,9963.0,1477.0,28,15,14.824851952223225
2843,21278,20780.0,5090.0,28,43,24.49470644850818
2863,7346,6874.0,3418.0,28,63,49.72359615944137
2841,13714,10164.0,1475.0,28,41,14.512003148366784
2893,35787,33601.0,6148.0,28,93,18.2970744918306
28119,7372,7188.0,2549.0,28,119,35.46188091263217
2811,32592,31018.0,10723.0,28,11,34.5702495325295
2873,61223,60739.0,10049.0,28,73,16.544559508717626
2881,84915,83733.0,13280.0,28,81,15.859935748151862
28113,39737,38532.0,13040.0,28,113,33.84200145333748
28135,14361,10976.0,3357.0,28,135,30.58491253644315
28129,16063,15930.0,2697.0,28,129,16.930320150659135
28131,18375,17686.0,3019.0,28,131,17.06999886916205
28149,47075,46536.0,9594.0,28,149,20.616297060340383
2823,15928,15772.0,3039.0,28,23,19.26832361146335
2869,10107,9213.0,2760.0,28,69,29.957668511885377
2897,10198,10056.0,2748.0,28,97,27.326968973747018
28105,49481,44274.0,13304.0,28,105,30.049238830916565
28109,55149,53522.0,8633.0,28,109,16.12981577668996
2879,22870,22106.0,5731.0,28,79,25.925088211345336
28103,10828,10569.0,3114.0,28,103,29.463525404484812
2899,29376,28855.0,6826.0,28,99,23.656212094957546
28121,151240,145655.0,11957.0,28,121,8.209124300573272
28137,28493,26418.0,5194.0,28,137,19.66083730789613
2877,12630,12606.0,2444.0,28,77,19.387593209582736
28107,34243,33999.0,7107.0,28,107,20.90355598694079
28161,12421,12213.0,1978.0,28,161,16.195856873822976
2817,17279,16907.0,3576.0,28,17,21.15100254332525
2829,28721,27795.0,6662.0,28,29,23.968339629429753
2839,23710,23199.0,3397.0,28,39,14.64287253760938
2849,241774,232966.0,51764.0,28,49,22.219551350840895
28101,21524,20842.0,5446.0,28,101,26.129929949141157
28145,28356,28009.0,4361.0,28,145,15.569995358634724
28125,4511,4409.0,1143.0,28,125,25.924245860739397
28139,21990,21603.0,4264.0,28,139,19.73799935194186
2835,75517,71762.0,17973.0,28,35,25.04528859284858
2845,46653,46412.0,8316.0,28,45,17.917779884512626
2871,53459,48368.0,11490.0,28,71,23.755375454846178
2855,1328,1053.0,439.0,28,55,41.69040835707503
2887,59437,57660.0,12759.0,28,87,22.12799167533819
2883,29804,28445.0,11143.0,28,83,39.17384426085428
28157,8990,7899.0,2587.0,28,157,32.750981136852765
2847,202626,197010.0,39694.0,28,47,20.14821582660779
2865,11495,11320.0,3059.0,28,65,27.02296819787986
2885,34432,33870.0,7458.0,28,85,22.019486271036314
28123,28415,28037.0,8123.0,28,123,28.972429289866962
28159,18358,17918.0,4120.0,28,159,22.993637682777095
28163,27974,23434.0,7609.0,28,163,32.46991550738244
289,8253,8173.0,1910.0,28,9,23.369631714180837
2837,7757,7658.0,1264.0,28,37,16.50561504309219
2861,16529,16443.0,3810.0,28,61,23.170954205436963
2867,68454,66926.0,14321.0,28,67,21.398260765621732
2895,35840,35336.0,6368.0,28,95,18.02128141272357
28133,26532,22389.0,7047.0,28,133,31.47527803832239
28155,9828,9739.0,2482.0,28,155,25.48516274771537
281,31547,28925.0,9930.0,28,1,34.330164217804665
2825,19808,19499.0,4548.0,28,25,23.32427303964306
2831,19091,18791.0,4579.0,28,31,24.3680485338726
2853,8539,8444.0,3215.0,28,53,38.07437233538607
29195,23102,21772.0,3553.0,29,195,16.319125482270806
29123,12205,11902.0,1854.0,29,123,15.577213913627963
29229,18293,17927.0,4460.0,29,229,24.878674624867518
29217,20691,19925.0,2719.0,29,217,13.646173149309911
29147,22547,19462.0,4543.0,29,147,23.342924673723154
2941,7546,7303.0,871.0,29,41,11.926605504587156
2979,10039,9733.0,1591.0,29,79,16.346450220897975
29141,20137,19733.0,4541.0,29,141,23.01221304413926
29223,13308,13074.0,3145.0,29,223,24.05537708428943
2917,12281,12192.0,2074.0,29,17,17.011154855643046
2931,78324,75105.0,12800.0,29,31,17.04280673723454
29205,6061,5782.0,870.0,29,205,15.0466966447596
29225,38082,36849.0,6207.0,29,225,16.844419115851174
295,5270,5171.0,530.0,29,5,10.24946818797138
2913,16374,15982.0,1973.0,29,13,12.345138280565635
2915,18989,18723.0,3584.0,29,15,19.142231479997864
2935,6197,6150.0,1057.0,29,35,17.1869918699187
2957,7590,7400.0,1663.0,29,57,22.472972972972975
29115,12186,12052.0,1811.0,29,115,15.026551609691339
2991,40102,39367.0,8738.0,29,91,22.19625574719943
29101,53689,48933.0,7536.0,29,101,15.400649868187113
29105,35507,35009.0,5241.0,29,105,14.97043617355537
29125,8884,8808.0,1430.0,29,125,16.235240690281564
29161,44789,41658.0,9293.0,29,161,22.307840030726393
29165,98824,97737.0,6701.0,29,165,6.856154782733253
29187,66342,59379.0,9656.0,29,187,16.261641321005744
293,17403,17086.0,1477.0,29,3,8.644504272503804
2933,8843,8716.0,1370.0,29,33,15.718219366681966
2961,8302,8068.0,1048.0,29,61,12.989588497768963
29103,3951,3869.0,741.0,29,103,19.152235719824244
29127,28672,27180.0,5036.0,29,127,18.528329654157467
29151,13619,13318.0,953.0,29,151,7.155729088451719
29181,13693,13528.0,3633.0,29,181,26.855410999408637
29219,33908,33640.0,4486.0,29,219,13.335315101070154
297,25735,23484.0,3589.0,29,7,15.282745699199454
2943,84275,83407.0,8468.0,29,43,10.152625079429784
2977,288429,276511.0,49504.0,29,77,17.903085229882358
2981,8554,8327.0,1547.0,29,81,18.578119370721748
29185,9383,9054.0,1591.0,29,185,17.57234371548487
291,25325,22581.0,5970.0,29,1,26.438155971834725
29199,4898,4778.0,753.0,29,199,15.759732105483465
29211,6317,6146.0,1080.0,29,211,17.57240481614058
2945,6800,6668.0,889.0,29,45,13.332333533293342
2999,223302,220557.0,22663.0,29,99,10.275348322655821
29111,10027,9276.0,1440.0,29,111,15.523932729624837
29143,17811,17357.0,4005.0,29,143,23.074263985711816
29157,19146,18787.0,1535.0,29,157,8.170543460903817
29173,10217,10085.0,1258.0,29,173,12.473971244422408
29177,22825,22552.0,3344.0,29,177,14.827953174884712
29189,998684,977860.0,94394.0,29,189,9.65312007853885
29209,31527,31112.0,3930.0,29,209,12.63178194908717
299,35493,34950.0,7346.0,29,9,21.01859799713877
2919,176515,167385.0,30607.0,29,19,18.285389969232607
2939,13938,13715.0,2537.0,29,39,18.49799489609916
2955,24280,23887.0,4667.0,29,55,19.53782392096119
2993,10221,9862.0,2064.0,29,93,20.92881768403975
29117,15076,13798.0,2267.0,29,117,16.429917379330337
29135,15958,14587.0,1929.0,29,135,13.224103653938437
29149,10699,10433.0,2493.0,29,149,23.895332119237036
2969,30428,29574.0,8001.0,29,69,27.05416920267803
29159,42371,41398.0,7114.0,29,159,17.184405043721917
29186,17871,17571.0,2571.0,29,186,14.632064196687725
29175,24945,22696.0,3507.0,29,175,15.452062037363412
2971,102781,101479.0,10999.0,29,71,10.838695690734044
2989,10113,9423.0,1413.0,29,89,14.995224450811842
2995,692003,680802.0,103216.0,29,95,15.160942535421459
29131,25049,24584.0,4400.0,29,131,17.897819720143183
29169,52591,43211.0,6236.0,29,169,14.431510495012844
29171,4815,4738.0,859.0,29,171,18.130012663571126
29213,54720,53033.0,9144.0,29,213,17.242094544906003
29215,25671,24204.0,5874.0,29,215,24.26871591472484
2921,89076,84984.0,14655.0,29,21,17.24442247952556
2925,9049,8694.0,1298.0,29,25,14.929836668967104
2927,44840,40723.0,4737.0,29,27,11.632247133069765
2937,102678,101242.0,9959.0,29,37,9.836826613460817
2949,20475,19841.0,2153.0,29,49,10.85126757723905
2953,17622,16007.0,1899.0,29,53,11.863559692634471
2959,16499,16251.0,2445.0,29,59,15.045227985970094
2975,6665,6488.0,1129.0,29,75,17.401356350184958
2985,9368,9252.0,1612.0,29,85,17.423259835711196
29113,55563,54677.0,6915.0,29,113,12.646999652504709
29133,13748,11978.0,2996.0,29,133,25.01252295875772
29137,8654,8528.0,1201.0,29,137,14.083020637898686
29145,58202,57174.0,7924.0,29,145,13.859446601602126
29153,9236,9074.0,2384.0,29,153,26.27286753361252
