NAME,totalpop_x,totalpovpop_x,<pov_x,state_x,county_x,pctpov_x,geoid_x,totalpop_y,totalpovpop_y,<pov_y,state_y,county_y,pctpov_y,geoid_y,changepov,changepop
"Autauga County, Alabama",54590.0,54255,6267,01,001,11.55100912358308,01001,55200.0,54765.0,8422.0,1,1,15.378435131927324,1001,3.8274260083442435,0.011174207730353545
"Baldwin County, Alabama",183226.0,180970,24002,01,003,13.26297176327568,01003,208107.0,204929.0,21653.0,1,3,10.56609850240815,1003,-2.6968732608675285,0.13579404669642955
"Barbour County, Alabama",27469.0,24530,6395,01,005,26.070118222584593,01005,25782.0,22856.0,6597.0,1,5,28.8633181659083,1005,2.7931999433237067,-0.0614146856456369
"Bibb County, Alabama",22769.0,21794,3594,01,007,16.49077727814995,01007,22527.0,20468.0,2863.0,1,7,13.987688098495214,1007,-2.5030891796547348,-0.01062848609952128
"Blount County, Alabama",57466.0,56993,8396,01,009,14.731633709402908,01009,57645.0,57082.0,8220.0,1,9,14.400336358221505,1009,-0.33129735118140324,0.003114885323495632
"Bullock County, Alabama",10779.0,10313,2286,01,011,22.16619800252109,01011,10352.0,9909.0,3110.0,1,11,31.385609042284788,1011,9.219411039763699,-0.039614064384451246
"Butler County, Alabama",20730.0,20463,5256,01,013,25.68538337487172,01013,20025.0,19707.0,4640.0,1,13,23.544933272441266,1013,-2.140450102430453,-0.03400868306801737
"Calhoun County, Alabama",117834.0,114887,24597,01,015,21.409733042032606,01015,115098.0,111981.0,20819.0,1,15,18.591546780257364,1015,-2.8181862617752422,-0.023219104842405417
"Chambers County, Alabama",34228.0,33785,7863,01,017,23.27364214888264,01017,33826.0,33274.0,5531.0,1,17,16.622588207008473,1017,-6.651053941874167,-0.011744770363445133
"Cherokee County, Alabama",25917.0,25440,4956,01,019,19.4811320754717,01019,25853.0,25501.0,3827.0,1,19,15.007254617465982,1019,-4.473877458005717,-0.0024694216151560752
"Chilton County, Alabama",43611.0,43197,8020,01,021,18.566104127601456,01021,43930.0,43260.0,8034.0,1,21,18.571428571428573,1021,0.005324443827117165,0.007314668317626287
"Choctaw County, Alabama",13838.0,13668,2758,01,023,20.178519168861577,01023,13075.0,12875.0,2864.0,1,23,22.244660194174763,1023,2.066141025313186,-0.055138025726261024
"Clarke County, Alabama",25768.0,25537,6737,01,025,26.38132905196382,01025,24387.0,23963.0,6088.0,1,25,25.4058339940742,1025,-0.9754950578896207,-0.053593604470661284
"Clay County, Alabama",13828.0,13513,2680,01,027,19.832753644638494,01027,13378.0,13040.0,2405.0,1,27,18.443251533742327,1027,-1.3895021108961672,-0.03254266705235753
"Cleburne County, Alabama",14905.0,14740,2650,01,029,17.978290366350066,01029,14938.0,14659.0,2719.0,1,29,18.548332082679586,1029,0.5700417163295199,0.002214022140221402
"Coffee County, Alabama",49966.0,49208,8438,01,031,17.14761827345147,01031,51288.0,50502.0,7604.0,1,31,15.056829432497725,1031,-2.0907888409537456,0.026457991434175238
"Colbert County, Alabama",54451.0,53890,8735,01,033,16.208944145481535,01033,54495.0,53991.0,8785.0,1,33,16.271230390250228,1033,0.06228624476869271,0.0008080659675671704
"Conecuh County, Alabama",13188.0,13119,3982,01,035,30.352923241100694,01035,12514.0,12381.0,2752.0,1,35,22.22760681689686,1035,-8.125316424203834,-0.05110706703063391
"Coosa County, Alabama",11305.0,11006,2223,01,037,20.198073777939307,01037,10855.0,10452.0,1459.0,1,37,13.959050899349409,1037,-6.239022878589898,-0.039805395842547546
"Covington County, Alabama",37803.0,37253,7780,01,039,20.88422408933509,01039,37351.0,36586.0,6702.0,1,39,18.31848247963702,1039,-2.565741609698069,-0.011956723011401212
"Crenshaw County, Alabama",13971.0,13796,2544,01,041,18.440127573209626,01041,13865.0,13661.0,2148.0,1,41,15.723592709172097,1041,-2.716534864037529,-0.0075871447999427384
"Cullman County, Alabama",80403.0,79211,14723,01,043,18.58706492785093,01043,82313.0,81016.0,12831.0,1,43,15.837612323491655,1043,-2.7494526043592735,0.02375533251246844
