NAME,totalpop,totalpovpop,<pov,state,county,pctpov,geoid
"Autauga County, Alabama",54590,54255,6267,01,001,11.55100912358308,01001
"Baldwin County, Alabama",183226,180970,24002,01,003,13.26297176327568,01003
"Barbour County, Alabama",27469,24530,6395,01,005,26.070118222584593,01005
"Bibb County, Alabama",22769,21794,3594,01,007,16.49077727814995,01007
"Blount County, Alabama",57466,56993,8396,01,009,14.731633709402908,01009
"Bullock County, Alabama",10779,10313,2286,01,011,22.16619800252109,01011
"Butler County, Alabama",20730,20463,5256,01,013,25.68538337487172,01013
"Calhoun County, Alabama",117834,114887,24597,01,015,21.409733042032606,01015
"Chambers County, Alabama",34228,33785,7863,01,017,23.27364214888264,01017
"Cherokee County, Alabama",25917,25440,4956,01,019,19.4811320754717,01019
"Chilton County, Alabama",43611,43197,8020,01,021,18.566104127601456,01021
"Choctaw County, Alabama",13838,13668,2758,01,023,20.178519168861577,01023
"Clarke County, Alabama",25768,25537,6737,01,025,26.38132905196382,01025
"Clay County, Alabama",13828,13513,2680,01,027,19.832753644638494,01027
"Cleburne County, Alabama",14905,14740,2650,01,029,17.978290366350066,01029
"Coffee County, Alabama",49966,49208,8438,01,031,17.14761827345147,01031
"Colbert County, Alabama",54451,53890,8735,01,033,16.208944145481535,01033
"Conecuh County, Alabama",13188,13119,3982,01,035,30.352923241100694,01035
"Coosa County, Alabama",11305,11006,2223,01,037,20.198073777939307,01037
"Covington County, Alabama",37803,37253,7780,01,039,20.88422408933509,01039
"Crenshaw County, Alabama",13971,13796,2544,01,041,18.440127573209626,01041
"Cullman County, Alabama",80403,79211,14723,01,043,18.58706492785093,01043
"Dale County, Alabama",50129,48486,7748,01,045,15.979870478076148,01045
"Dallas County, Alabama",43572,43161,15733,01,047,36.451889437223414,01047
"DeKalb County, Alabama",70949,70192,13701,01,049,19.51931844084796,01049
"Elmore County, Alabama",79330,73602,9539,01,051,12.960245645498764,01051
"Escambia County, Alabama",38122,35527,8849,01,053,24.907816590199,01053
"Etowah County, Alabama",104317,102425,19212,01,055,18.75713937027093,01055
"Fayette County, Alabama",17219,16916,3232,01,057,19.10617167179002,01057
"Franklin County, Alabama",31664,31247,6188,01,059,19.803501136109066,01059
"Geneva County, Alabama",26769,26361,5266,01,061,19.976480406661356,01061
"Greene County, Alabama",9067,9026,2968,01,063,32.882783071127854,01063
"Hale County, Alabama",15750,15448,4277,01,065,27.68643190056965,01065
"Henry County, Alabama",17275,17039,2727,01,067,16.004460355654672,01067
"Houston County, Alabama",101459,100167,17723,01,069,17.693451935268104,01069
"Jackson County, Alabama",53279,52693,8533,01,071,16.193801833260586,01071
"Jefferson County, Alabama",658464,645062,109935,01,073,17.042547848113827,01073
"Lamar County, Alabama",14513,14361,2883,01,075,20.07520367662419,01075
"Lauderdale County, Alabama",92528,90550,16248,01,077,17.9436775262286,01077
"Lawrence County, Alabama",34148,33898,5467,01,079,16.127795150156352,01079
"Lee County, Alabama",140938,135639,28564,01,081,21.058840009141914,01081
"Limestone County, Alabama",83313,79243,10562,01,083,13.328622086493445,01083
"Lowndes County, Alabama",11304,11217,2643,01,085,23.562449852901846,01085
"Macon County, Alabama",21214,18953,5331,01,087,28.127473223236425,01087
"Madison County, Alabama",334661,327119,40598,01,089,12.41077406081579,01089
"Marengo County, Alabama",20909,20600,4687,01,091,22.752427184466022,01091
"Logan County, Colorado",22541,21537,3426,08,075,15.907508009472071,08075
"Mesa County, Colorado",146562,143753,19230,08,077,13.377112129833812,08077
"Mineral County, Colorado",702,702,47,08,079,6.695156695156696,08079
"Moffat County, Colorado",13547,13333,1606,08,081,12.045301132528314,08081
"Montezuma County, Colorado",25424,25016,4911,08,083,19.631435881036136,08083
"Montrose County, Colorado",40994,40368,5565,08,085,13.785671819262783,08085
"Morgan County, Colorado",28200,27416,4002,08,087,14.597315436241612,08087
"Otero County, Colorado",18791,18151,4502,08,089,24.803041154757313,08089
"Ouray County, Colorado",4445,4437,265,08,091,5.9725039441063785,08091
"Park County, Colorado",16168,16049,1355,08,093,8.442893638232912,08093
"Phillips County, Colorado",4380,4314,787,08,095,18.242929995363934,08095
"Pitkin County, Colorado",17000,16965,1863,08,097,10.981432360742707,08097
"Prowers County, Colorado",12539,12127,2695,08,099,22.223138451389463,08099
"Pueblo County, Colorado",159072,154352,27975,08,101,18.12415776925469,08101
"Rio Blanco County, Colorado",6728,6503,883,08,103,13.578348454559434,08103
"Rio Grande County, Colorado",11925,11605,2072,08,105,17.854373115036623,08105
"Routt County, Colorado",23385,23026,1725,08,107,7.491531312429428,08107
"Saguache County, Colorado",6189,6116,1518,08,109,24.820143884892087,08109
"San Juan County, Colorado",747,747,146,08,111,19.544846050870145,08111
"San Miguel County, Colorado",7432,7386,538,08,113,7.284050907121581,08113
"Sedgwick County, Colorado",2389,2347,354,08,115,15.083084789092457,08115
"Summit County, Colorado",27753,27610,3249,08,117,11.76747555233611,08117
"Teller County, Colorado",23163,22859,1872,08,119,8.189334616562405,08119
"Washington County, Colorado",4796,4626,468,08,121,10.116731517509727,08121
"Weld County, Colorado",253552,247164,35581,08,123,14.395704876114646,08123
"Yuma County, Colorado",10032,9890,1059,08,125,10.707785642062689,08125
"Fairfield County, Connecticut",918892,900967,79663,09,001,8.841944266549163,09001
"Hartford County, Connecticut",893504,867966,99425,09,003,11.454941783433913,09003
"Litchfield County, Connecticut",189277,186493,11472,09,005,6.151437319363193,09005
"Middlesex County, Connecticut",165639,159955,9517,09,007,5.949798380794599,09007
"New Haven County, Connecticut",860995,834706,100343,09,009,12.02135841841319,09009
"New London County, Connecticut",273723,261357,21286,09,011,8.144415492984692,09011
"Tolland County, Connecticut",152137,137942,9607,09,013,6.964521320555016,09013
"Windham County, Connecticut",118046,113806,13303,09,015,11.689190376605803,09015
"Kent County, Delaware",162785,157929,19550,10,001,12.37898042791381,10001
"New Castle County, Delaware",539665,523135,56000,10,003,10.704693817083545,10003
"Sussex County, Delaware",197681,193890,25105,10,005,12.948063334880603,10005
"District of Columbia, District of Columbia",605759,572108,105606,11,001,18.45910212757032,11001
"Alachua County, Florida",247973,232921,55398,12,001,23.78402977833686,12001
"Baker County, Florida",27010,24566,4164,12,003,16.95025645200684,12003
"Bay County, Florida",168957,164413,21870,12,005,13.301867857164579,12005
"Bradford County, Florida",28404,24216,4874,12,007,20.127188635612818,12007
"Brevard County, Florida",544019,535740,67040,12,009,12.513532683764513,12009
"Broward County, Florida",1761993,1746262,235935,12,011,13.510859195241034,12011
"Calhoun County, Florida",14639,12540,3108,12,013,24.784688995215312,12013
"Charlotte County, Florida",160380,157418,18703,12,015,11.881106353784192,12015
"Citrus County, Florida",140805,138129,22777,12,017,16.489658218042553,12017
"Clay County, Florida",190891,189198,19060,12,019,10.074102263237455,12019
"Collier County, Florida",323548,320139,44889,12,021,14.021721814586789,12021
"Columbia County, Florida",67546,63826,12598,12,023,19.73803779024222,12023
"DeSoto County, Florida",34628,32354,8659,12,027,26.763305928169622,12027
"Dixie County, Florida",16301,15555,2529,12,029,16.25843780135005,12029
"Duval County, Florida",866431,849567,134551,12,031,15.83759727013879,12031
"Escambia County, Florida",298864,278126,49398,12,033,17.761014791856926,12033
"Flagler County, Florida",95987,95205,13748,12,035,14.44041804527073,12035
"Franklin County, Florida",11545,9519,2117,12,037,22.239731064187414,12037
"Gadsden County, Florida",46823,44487,13120,12,039,29.491761638231395,12039
"Gilchrist County, Florida",16880,15692,3442,12,041,21.934743818506245,12041
"Glades County, Florida",12952,11802,2985,12,043,25.292323335027962,12043
"Gulf County, Florida",15796,13359,2506,12,045,18.758889138408563,12045
"Hamilton County, Florida",14728,11550,2607,12,047,22.57142857142857,12047
"Hardee County, Florida",27347,25534,7587,12,049,29.713323411921362,12049
"Hendry County, Florida",38669,36346,10426,12,051,28.685412425026136,12051
"Hernando County, Florida",172784,170292,25184,12,053,14.788715852770535,12053
"Highlands County, Florida",98734,97210,18425,12,055,18.953811336282275,12055
"Hillsborough County, Florida",1238365,1219572,200994,12,057,16.48069978648247,12057
"Holmes County, Florida",19971,18132,4105,12,059,22.639532318552835,12059
"Indian River County, Florida",138203,136523,20182,12,061,14.782857101001296,12061
"Jackson County, Florida",49589,41715,6457,12,063,15.478844540333213,12063
"Jefferson County, Florida",14564,12937,2437,12,065,18.83744299296591,12065
